slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
1rpc-astar-public-recent-state,!provider:1rpc-public-recent-state,,,,astar,,,,,,,,,,,,,,,,
1rpc-astar-free,!provider:1rpc-free-recent-state,,,,astar,,,,,,,,,,,,,,,,
1rpc-astar-pay-as-you-go,!provider:1rpc-pay-as-you-go-recent-state,,,,astar,,,,,,,,,,,,,,,,
1rpc-astar-enterprise,!provider:1rpc-enterprise-recent-state,,,,astar,,,,,,,,,,,,,,,,
alchemy-astar-free-recent-state,!provider:alchemy-free-recent-state,,,,astar,,,,,,,,,,,,,,,,
alchemy-astar-pay-as-you-go-recent-state,!provider:alchemy-pay-as-you-go-recent-state,,,,astar,,,,,,,,,,,,,,,,
alchemy-astar-enterprise-recent-state,!provider:alchemy-enterprise-recent-state,,,,astar,,,,,,,,,,,,,,,,
allthatnode-astar-free-archive,!provider:allthatnode-free-full-archive,,,,astar,,,,,,,,,,,,,,,,
allthatnode-astar-pay-as-you-go-archive,!provider:allthatnode-pay-as-you-go-full-archive,,,,astar,,,,,,,,,,,,,,,,
allthatnode-astar-enterprise-archive,!provider:allthatnode-enterprise-full-archive,,,,astar,,,,,,,,,,,,,,,,
astar-free,!provider:astar-free-recent-state,,,,astar,,,,,,,,,,,,,,,,
astar-shibuya-free,!provider:astar-free-recent-state,,,,shibuya,,,,,,,,,,,,,,,,
astar-shiden-free,!provider:astar-free-recent-state,,,,shiden,,,,,,,,,,,,,,,,
blockdaemon-astar-dedicated,!provider:blockdaemon-enterprise-recent-state,,,,astar,,,,,,,,,,,,,,,,
blockdaemon-shibuya-dedicated,!provider:blockdaemon-enterprise-recent-state,,,,shibuya,,,,,,,,,,,,,,,,
blockdaemon-shiden-dedicated,!provider:blockdaemon-enterprise-recent-state,,,,shiden,,,,,,,,,,,,,,,,
dwellir-astar-free-archive,!provider:dwellir-free-full-archive,,,,astar,,,,,,,,,,,,,,,,
dwellir-astar-pay-as-you-go-archive,!provider:dwellir-pay-as-you-go-full-archive,,,,astar,,,,,,,,,,,,,,,,
dwellir-astar-dedicated-archive,!provider:dwellir-dedicated-full-archive,,,,astar,,,,,,,,,,,,,,,,
dwellir-astar-dedicated,!provider:dwellir-dedicated-recent-state,,,,astar,,,,,,,,,,,,,,,,
dwellir-shibuya-free-archive,!provider:dwellir-free-full-archive,,,,shibuya,,,,,,,,,,,,,,,,
dwellir-shibuya-pay-as-you-go-archive,!provider:dwellir-pay-as-you-go-full-archive,,,,shibuya,,,,,,,,,,,,,,,,
dwellir-shibuya-dedicated-archive,!provider:dwellir-dedicated-full-archive,,,,shibuya,,,,,,,,,,,,,,,,
dwellir-shibuya-dedicated,!provider:dwellir-dedicated-recent-state,,,,shibuya,,,,,,,,,,,,,,,,
dwellir-shiden-free-archive,!provider:dwellir-free-full-archive,,,,shiden,,,,,,,,,,,,,,,,
dwellir-shiden-pay-as-you-go-archive,!provider:dwellir-pay-as-you-go-full-archive,,,,shiden,,,,,,,,,,,,,,,,
dwellir-shiden-dedicated-archive,!provider:dwellir-dedicated-full-archive,,,,shiden,,,,,,,,,,,,,,,,
onfinality-astar-pay-as-you-go,!provider:onfinality-pay-as-you-go-full-archive,,,,astar,,,,,,,,,,,,,,,,
onfinality-astar-enterprise,!provider:onfinality-enterprise-full-archive,,,,astar,,,,,,,,,,,,,,,,
onfinality-astar-dedicated-archive,!provider:onfinality-dedicated-full-archive,,,,astar,,,,,,,,,,,,,,,,
onfinality-astar-dedicated-collator,!provider:onfinality-dedicated-collator,,,,astar,,,,,,,,,,,,,,,,
onfinality-astar-dedicated-trace,!provider:onfinality-dedicated-trace,,,,astar,,,,,,,,,,,,,,,,
onfinality-shiden-pay-as-you-go,!provider:onfinality-pay-as-you-go-full-archive,,,,shiden,,,,,,,,,,,,,,,,
onfinality-shiden-enterprise,!provider:onfinality-enterprise-full-archive,,,,shiden,,,,,,,,,,,,,,,,
onfinality-shiden-dedicated-archive,!provider:onfinality-dedicated-full-archive,,,,shiden,,,,,,,,,,,,,,,,
onfinality-shiden-dedicated-collator,!provider:onfinality-dedicated-collator,,,,shiden,,,,,,,,,,,,,,,,
radiumblock-astar-free,!provider:radiumblock-free-recent-state,,,,astar,,,,,,,,,,,,,,,,
radiumblock-astar-pay-as-you-go,!provider:radiumblock-pay-as-you-go-recent-state,,,,astar,,,,,,,,,,,,,,,,
radiumblock-astar-enterprise,!provider:radiumblock-enterprise-recent-state,,,,astar,,,,,,,,,,,,,,,,
radiumblock-shiden-enterprise,!provider:radiumblock-enterprise-recent-state,,,,shiden,,,,,,,,,,,,,,,,
startale-astar-free,!provider:startale-free-recent-state,,,,astar,,,,,,,,,,,,,,,,
