slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
4everland-free,!provider:4everland-free,,,,,,,,
4everland-pay-as-you-go,!provider:4everland-pay-as-you-go,,,,,,,,
aptos-cli,Aptos,"[""[Docs](https://aptos.dev/build/cli)""]",CLI,"[""Test"",""Compile"",""Install"",""Setup""]",$0,,Free,The Aptos CLI is a tool to compile and test Move contracts. It can also quickly play with Aptos features on-chain,FALSE
aptos-sdk,Aptos,"[""[Docs](https://aptos.dev/build/sdks)""]",SDK,"[""Go"","".NET"",""Python"",""Unity"",""TypeScript"",""C++"",""Rust""]",$0,,Free,"Official SDKs like TypeScript, Python, .NET, Rust, Unity, C++ and Go are used for building, testing, and debugging applications on Aptos",FALSE
aptos-wallet-adapter,Aptos,"[""[Docs](https://aptos.dev/build/sdks/wallet-adapter)""]",Tool,"[""AIP-62"",""Modern Wallet Standard""]",$0,,Free,The Aptos Wallet Adapter provides a single interface for Aptos dapps and Aptos wallets to communicate with each other,FALSE
blockdaemon-sdk-enterprise,!provider:blockdaemon-sdk-enterprise,,,,,,,,
blockdaemon-sdk-free,!provider:blockdaemon-sdk-free,,,,,,,,
blockdaemon-sdk-pay-as-you-go,!provider:blockdaemon-sdk-pay-as-you-go,,,,,,,,
chainlink-ccip,!provider:chainlink-ccip,,,,,,,,
crossmint-enterprise,!provider:crossmint-enterprise,,,,,,,,
crossmint-free,!provider:crossmint-free,,,,,,,,
ipfs,!provider:ipfs,,,,,,,,
moralis-enterprise,!provider:moralis-enterprise,,,,,,,,
moralis-free,!provider:moralis-free,,,,,,,,
moralis-pay-as-you-go,!provider:moralis-pay-as-you-go,,,,,,,,
portal-enterprise,!provider:portal-enterprise,,,,,,,,
portal-free,!provider:portal-free,,,,,,,,
portal-pay-as-you-go,!provider:portal-pay-as-you-go,,,,,,,,
rarible,!provider:rarible,,,,,,,,
reclaim-protocol,!provider:reclaim-protocol,,,,,,,,
turnkey-enterprise,!provider:turnkey-enterprise,,,,,,,,
turnkey-free,!provider:turnkey-free,,,,,,,,
turnkey-pay-as-you-go,!provider:turnkey-pay-as-you-go,,,,,,,,
